Age,Attrition,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Clusters,Cluster
27,No,Research & Development,2,4,4,Female,1,Laboratory Technician,Divorced,2341,No,3,1,1,0,0,1,light pink
26,Yes,Research & Development,25,3,1,Male,1,Laboratory Technician,Single,2293,No,3,1,1,0,1,2,pink
27,No,Sales,8,3,4,Male,3,Sales Executive,Single,8726,No,3,9,9,1,7,1,light pink
30,No,Research & Development,1,2,3,Female,2,Laboratory Technician,Single,4011,No,4,12,12,3,7,1,light pink
41,Yes,Research & Development,12,3,2,Female,5,Research Director,Married,19545,No,3,23,22,15,8,3,purple
34,No,Sales,23,4,2,Male,2,Sales Executive,Single,4568,No,4,10,9,8,7,2,pink
37,No,Research & Development,19,2,2,Male,1,Research Scientist,Married,3022,No,4,8,1,0,0,2,pink
46,No,Sales,5,4,1,Male,2,Sales Executive,Single,5772,Yes,4,14,9,0,8,0,beige
35,No,Research & Development,8,1,4,Male,1,Laboratory Technician,Married,2269,No,3,1,1,0,1,1,light pink
48,Yes,Research & Development,1,2,1,Male,3,Laboratory Technician,Single,5381,Yes,3,23,1,0,0,0,beige
28,Yes,Research & Development,5,4,3,Male,1,Laboratory Technician,Single,3441,Yes,3,2,2,2,2,1,light pink
44,No,Sales,1,5,2,Female,2,Sales Executive,Divorced,5454,Yes,4,9,4,1,3,0,beige
35,No,Research & Development,11,2,3,Male,3,Healthcare Representative,Married,9884,Yes,3,10,4,2,3,1,light pink
26,No,Sales,23,3,3,Female,2,Sales Executive,Married,4157,Yes,3,5,2,0,0,2,pink
33,No,Research & Development,1,2,1,Female,3,Research Director,Single,13458,Yes,3,15,15,8,12,3,purple
35,No,Sales,18,5,2,Male,3,Sales Executive,Married,9069,No,4,9,9,1,8,2,pink
35,No,Research & Development,23,4,3,Female,1,Laboratory Technician,Married,4014,Yes,3,4,2,2,2,2,pink
31,No,Research & Development,7,4,4,Male,2,Laboratory Technician,Divorced,5915,No,4,10,7,1,7,1,light pink
37,No,Research & Development,1,4,1,Male,2,Manufacturing Director,Divorced,5993,No,3,7,7,0,7,1,light pink
32,No,Research & Development,1,3,1,Male,2,Manufacturing Director,Married,6162,Yes,4,9,9,7,8,1,light pink
38,No,Research & Development,29,5,4,Female,2,Laboratory Technician,Single,2406,No,3,10,10,9,9,2,pink
50,No,Research & Development,7,2,2,Female,5,Research Director,Divorced,18740,Yes,3,29,27,13,8,3,purple
59,No,Sales,25,3,1,Female,3,Sales Executive,Single,7637,No,3,28,21,7,9,3,purple
36,No,Research & Development,8,3,3,Female,3,Healthcare Representative,Divorced,10096,No,3,17,17,12,8,3,purple
55,No,Research & Development,8,3,4,Female,4,Manager,Divorced,14756,Yes,3,21,5,0,2,0,beige
36,No,Research & Development,11,3,2,Male,2,Manufacturing Director,Single,6499,No,3,6,6,0,3,1,light pink
45,No,Research & Development,7,3,2,Male,3,Research Scientist,Divorced,9724,No,3,25,1,0,0,0,beige
35,No,Research & Development,1,3,2,Male,1,Research Scientist,Married,2194,No,3,5,3,1,2,1,light pink
36,Yes,Research & Development,9,3,4,Male,1,Research Scientist,Married,3388,Yes,3,2,1,0,0,1,light pink
59,No,Sales,1,1,1,Female,2,Sales Executive,Single,5473,No,3,20,4,1,3,0,beige
29,No,Research & Development,2,3,3,Male,1,Research Scientist,Married,2703,No,4,6,5,0,4,1,light pink
31,No,Research & Development,1,4,3,Male,1,Research Scientist,Single,2501,No,3,1,1,1,0,1,light pink
32,No,Research & Development,1,3,2,Male,2,Research Scientist,Married,6220,No,3,10,10,0,9,1,light pink
36,No,Research & Development,6,3,2,Female,1,Laboratory Technician,Married,3038,No,3,5,1,0,0,1,light pink
31,No,Research & Development,8,4,3,Female,2,Manufacturing Director,Single,4424,No,4,11,11,1,8,1,light pink
35,No,Sales,1,4,3,Male,2,Sales Executive,Single,4312,No,3,16,15,2,8,1,light pink
45,No,Research & Development,6,4,4,Male,3,Research Director,Married,13245,Yes,3,17,0,0,0,0,beige
37,No,Research & Development,7,4,1,Male,3,Research Director,Single,13664,No,3,16,5,0,2,0,beige
46,No,Human Resources,5,2,2,Male,2,Human Resources,Divorced,5021,Yes,4,16,4,0,2,0,beige
30,No,Research & Development,1,1,4,Male,2,Laboratory Technician,Married,5126,Yes,3,10,10,3,0,1,light pink
35,No,Research & Development,1,3,2,Male,1,Research Scientist,Single,2859,No,3,6,6,0,4,1,light pink
55,No,Sales,1,2,1,Male,3,Sales Executive,Married,10239,No,3,24,1,1,0,0,beige
38,No,Research & Development,6,3,2,Female,2,Research Scientist,Divorced,5329,Yes,3,17,13,1,9,1,light pink
34,No,Research & Development,1,2,1,Male,2,Manufacturing Director,Married,4325,No,3,5,5,1,3,1,light pink
56,No,Research & Development,7,3,4,Male,3,Manufacturing Director,Single,7260,No,3,37,6,0,2,0,beige
23,No,Sales,2,1,3,Male,1,Sales Representative,Divorced,2322,No,3,3,0,0,0,1,light pink
51,No,Research & Development,9,4,4,Male,1,Laboratory Technician,Married,2075,No,4,10,4,0,3,0,beige
30,No,Research & Development,2,3,3,Male,2,Healthcare Representative,Married,4152,No,3,11,11,10,8,1,light pink
46,Yes,Sales,9,2,3,Male,3,Sales Executive,Single,9619,No,3,9,9,4,7,0,beige
40,No,Research & Development,1,4,3,Male,4,Healthcare Representative,Married,13503,No,4,22,22,11,11,3,purple
51,No,Sales,21,4,3,Male,2,Sales Executive,Single,5441,Yes,4,11,10,1,0,2,pink
30,No,Sales,4,2,3,Female,2,Sales Executive,Divorced,5209,Yes,3,11,11,2,7,1,light pink
46,No,Research & Development,1,3,3,Male,3,Healthcare Representative,Married,10673,Yes,3,21,10,9,5,0,beige
32,No,Sales,6,4,2,Male,2,Sales Executive,Single,5010,No,3,12,11,5,7,1,light pink
54,No,Research & Development,2,4,1,Female,3,Research Director,Married,13549,No,3,16,4,0,3,0,beige
24,No,Sales,3,2,1,Female,2,Sales Executive,Married,4999,No,4,4,3,0,2,1,light pink
28,No,Sales,4,3,2,Male,2,Sales Executive,Married,4221,No,3,5,5,0,4,1,light pink
58,No,Sales,10,4,4,Male,4,Sales Executive,Single,13872,No,3,38,37,1,8,3,purple
44,No,Research & Development,23,3,2,Male,2,Laboratory Technician,Married,2042,No,3,17,3,1,2,2,pink
37,Yes,Human Resources,6,4,3,Male,1,Human Resources,Divorced,2073,Yes,4,7,3,0,2,1,light pink
32,No,Research & Development,1,1,4,Male,1,Research Scientist,Single,2956,No,3,1,1,0,0,1,light pink
20,Yes,Research & Development,6,3,4,Female,1,Laboratory Technician,Single,2926,Yes,3,1,1,1,0,1,light pink
34,No,Research & Development,6,4,1,Female,2,Research Scientist,Single,4809,No,3,16,16,2,10,1,light pink
37,No,Research & Development,2,2,3,Male,2,Healthcare Representative,Divorced,5163,No,3,17,1,0,0,1,light pink
59,No,Human Resources,2,4,3,Female,5,Manager,Married,18844,No,4,30,3,2,2,0,beige
50,No,Research & Development,1,3,1,Female,5,Research Director,Married,18172,Yes,3,28,8,0,7,0,beige
25,Yes,Sales,5,3,3,Male,2,Sales Executive,Single,5744,Yes,3,6,6,0,3,1,light pink
25,No,Research & Development,7,1,4,Male,1,Research Scientist,Married,2889,No,3,2,2,2,1,1,light pink
22,No,Research & Development,15,3,2,Female,1,Laboratory Technician,Single,2871,No,3,1,0,0,0,1,light pink
51,No,Research & Development,1,4,1,Female,3,Healthcare Representative,Single,7484,No,4,23,13,12,8,0,beige
34,Yes,Research & Development,7,3,1,Male,2,Laboratory Technician,Single,6074,Yes,4,9,9,0,6,1,light pink
54,No,Human Resources,26,3,4,Female,4,Manager,Single,17328,Yes,3,23,5,4,4,0,beige
24,No,Research & Development,18,1,2,Male,1,Laboratory Technician,Married,2774,No,3,6,5,1,2,2,pink
34,No,Research & Development,6,4,3,Female,2,Research Scientist,Divorced,4505,No,3,12,1,0,0,1,light pink
37,No,Sales,3,3,3,Male,3,Sales Executive,Single,7428,No,3,12,5,1,3,1,light pink
34,No,Research & Development,5,3,3,Female,3,Manager,Single,11631,No,3,14,11,5,8,1,light pink
36,No,Sales,11,2,2,Female,3,Sales Executive,Married,9738,No,3,10,9,2,8,1,light pink
36,No,Research & Development,3,2,1,Female,1,Laboratory Technician,Divorced,2835,No,4,7,1,0,0,1,light pink
43,No,Sales,26,2,3,Male,4,Manager,Married,16959,Yes,3,25,25,4,12,3,purple
30,No,Research & Development,23,3,1,Male,1,Research Scientist,Divorced,2613,No,4,10,10,0,9,2,pink
33,No,Sales,22,2,3,Male,2,Sales Executive,Married,6146,No,3,8,7,0,7,2,pink
56,Yes,Research & Development,14,4,2,Female,1,Research Scientist,Married,4963,Yes,3,7,5,4,3,0,beige
51,No,Research & Development,6,3,1,Male,5,Research Director,Single,19537,No,3,23,20,15,15,3,purple
31,Yes,Sales,6,4,2,Male,2,Sales Executive,Married,6172,Yes,3,12,7,7,7,1,light pink
26,No,Research & Development,6,3,3,Female,1,Research Scientist,Married,2368,No,3,5,5,4,3,1,light pink
58,Yes,Research & Development,23,4,4,Female,3,Healthcare Representative,Married,10312,No,3,40,40,15,6,3,purple
19,Yes,Sales,22,1,4,Male,1,Sales Representative,Single,1675,Yes,3,0,0,0,0,2,pink
22,No,Research & Development,2,1,3,Male,1,Laboratory Technician,Married,2523,No,3,3,2,2,1,1,light pink
49,No,Research & Development,20,4,3,Female,2,Manufacturing Director,Married,6567,No,3,16,15,5,11,2,pink
43,No,Research & Development,28,3,2,Female,1,Research Scientist,Single,4739,No,3,18,3,1,2,2,pink
50,No,Sales,12,3,3,Female,3,Sales Executive,Single,9208,No,3,16,2,2,1,0,beige
31,Yes,Sales,20,3,2,Female,2,Sales Executive,Married,4559,Yes,3,4,2,2,2,2,pink
41,No,Sales,9,1,3,Male,3,Sales Executive,Divorced,8189,Yes,3,12,9,0,7,0,beige
26,No,Human Resources,25,1,3,Female,1,Human Resources,Married,2942,No,4,8,8,5,7,2,pink
36,No,Research & Development,6,2,2,Male,2,Manufacturing Director,Divorced,4941,No,4,7,3,0,1,1,light pink
51,Yes,Research & Development,8,4,1,Male,3,Manufacturing Director,Single,10650,No,3,18,4,0,3,0,beige
39,No,Sales,4,4,4,Female,2,Sales Executive,Married,5902,No,3,17,15,5,9,1,light pink
25,No,Sales,28,3,1,Male,2,Sales Executive,Married,8639,No,3,6,2,2,2,2,pink
30,No,Human Resources,9,3,3,Male,2,Human Resources,Married,6347,Yes,3,12,11,4,7,1,light pink
32,Yes,Research & Development,9,3,1,Female,1,Laboratory Technician,Single,4200,No,4,10,5,0,4,1,light pink
45,No,Research & Development,29,3,3,Male,1,Research Scientist,Single,3452,No,3,9,6,0,3,2,pink
38,No,Research & Development,3,5,4,Female,2,Research Scientist,Single,4317,Yes,4,19,3,2,2,1,light pink
30,No,Research & Development,18,3,1,Female,1,Research Scientist,Single,2632,No,3,5,5,0,4,2,pink
32,No,Sales,9,2,4,Male,2,Sales Executive,Divorced,4668,No,3,9,8,0,7,1,light pink
30,No,Research & Development,5,3,4,Female,1,Research Scientist,Divorced,3204,No,3,8,3,2,2,1,light pink
30,No,Research & Development,2,1,2,Male,1,Laboratory Technician,Single,2720,No,3,6,5,1,2,1,light pink
41,No,Research & Development,10,3,4,Male,4,Manager,Divorced,17181,No,3,21,7,7,7,0,beige
41,No,Research & Development,9,4,3,Male,1,Laboratory Technician,Married,2238,No,4,7,5,1,4,1,light pink
19,No,Research & Development,3,1,2,Female,1,Laboratory Technician,Single,1483,No,3,1,1,0,0,1,light pink
40,No,Research & Development,26,3,2,Female,2,Research Scientist,Divorced,5605,No,3,20,20,2,13,2,pink
35,No,Sales,1,5,3,Male,3,Sales Executive,Married,7295,No,3,10,10,0,6,1,light pink
53,No,Sales,6,2,2,Male,2,Sales Representative,Married,2306,Yes,4,13,7,4,5,0,beige
45,No,Research & Development,9,3,2,Male,2,Laboratory Technician,Divorced,2348,No,3,20,17,0,15,0,beige
32,No,Sales,8,3,2,Female,3,Sales Executive,Single,8998,No,3,9,9,3,7,1,light pink
29,No,Research & Development,1,1,4,Male,2,Manufacturing Director,Married,4319,No,3,10,10,0,9,1,light pink
51,No,Research & Development,7,4,2,Male,2,Manufacturing Director,Married,6132,No,3,10,1,0,0,0,beige
58,No,Research & Development,9,3,2,Female,1,Research Scientist,Married,3346,Yes,4,9,1,0,0,0,beige
40,No,Sales,4,4,3,Male,3,Sales Executive,Married,10855,No,3,15,12,2,11,0,beige
34,No,Sales,2,4,3,Female,1,Sales Representative,Married,2231,No,3,6,4,1,2,1,light pink
22,No,Research & Development,19,1,3,Male,1,Research Scientist,Married,2323,No,4,2,2,2,2,2,pink
27,No,Research & Development,9,3,4,Male,1,Research Scientist,Divorced,2024,No,3,6,2,2,2,1,light pink
28,No,Research & Development,21,3,3,Male,1,Research Scientist,Married,2713,No,3,5,5,0,2,2,pink
57,No,Research & Development,24,2,3,Male,3,Healthcare Representative,Divorced,9439,Yes,3,12,5,1,4,0,beige
27,No,Research & Development,3,3,3,Male,1,Research Scientist,Divorced,2566,Yes,3,1,1,0,1,1,light pink
50,No,Research & Development,11,3,3,Female,5,Manager,Single,19926,No,3,21,5,4,4,0,beige
41,No,Research & Development,14,3,1,Male,1,Research Scientist,Divorced,2451,No,3,13,9,1,8,2,pink
30,No,Sales,5,3,2,Female,3,Sales Executive,Married,9419,No,3,12,10,7,4,1,light pink
38,No,Sales,1,4,1,Female,2,Sales Executive,Single,8686,No,4,12,8,0,7,1,light pink
32,No,Research & Development,6,5,3,Male,1,Research Scientist,Single,3038,No,4,8,5,1,4,1,light pink
27,No,Research & Development,17,3,3,Male,1,Research Scientist,Married,3058,Yes,3,6,5,1,1,2,pink
19,Yes,Sales,1,1,3,Female,1,Sales Representative,Single,2325,No,4,1,0,0,0,1,light pink
36,No,Research & Development,3,2,4,Male,1,Laboratory Technician,Single,2088,No,3,13,8,7,2,1,light pink
30,No,Research & Development,9,3,3,Male,2,Laboratory Technician,Divorced,3072,No,3,12,12,6,10,1,light pink
45,No,Sales,4,2,3,Female,2,Sales Executive,Divorced,5006,Yes,3,9,5,0,3,0,beige
56,No,Research & Development,8,3,3,Female,1,Research Scientist,Divorced,4257,Yes,3,19,2,2,2,0,beige
33,No,Research & Development,2,3,3,Male,1,Research Scientist,Single,2500,No,3,4,3,0,2,1,light pink
19,Yes,Research & Development,2,3,2,Male,1,Laboratory Technician,Single,1102,No,4,1,1,1,0,1,light pink
46,No,Sales,1,2,2,Female,3,Sales Executive,Divorced,10453,No,4,24,24,15,7,3,purple
38,No,Research & Development,9,2,3,Female,1,Laboratory Technician,Single,2288,No,3,2,2,2,1,1,light pink
31,No,Research & Development,12,1,3,Female,1,Research Scientist,Married,3929,Yes,4,7,4,0,2,1,light pink
34,No,Research & Development,27,2,4,Female,1,Research Scientist,Single,2311,No,3,9,3,1,2,2,pink
41,Yes,Sales,20,2,2,Female,1,Sales Representative,Single,3140,Yes,4,4,4,0,2,2,pink
50,No,Research & Development,1,3,3,Male,1,Laboratory Technician,Married,3690,No,3,5,3,0,2,0,beige
53,No,Research & Development,13,2,4,Female,2,Manufacturing Director,Divorced,4450,No,3,5,4,1,3,0,beige
33,No,Research & Development,14,3,4,Female,1,Research Scientist,Married,2756,No,3,8,8,1,6,2,pink
40,No,Research & Development,4,1,4,Female,5,Manager,Married,19033,No,3,21,20,9,9,3,purple
55,No,Research & Development,14,4,3,Male,5,Research Director,Single,18722,No,3,36,24,2,15,3,purple
34,No,Research & Development,2,1,4,Male,2,Manufacturing Director,Married,9547,No,3,10,10,1,9,1,light pink
51,No,Research & Development,3,3,4,Female,4,Healthcare Representative,Single,13734,No,3,21,7,1,0,0,beige
52,No,Research & Development,1,4,3,Male,5,Manager,Married,19999,No,3,34,33,11,9,3,purple
27,No,Research & Development,9,3,4,Female,1,Research Scientist,Single,2279,No,3,7,7,0,3,1,light pink
35,Yes,Research & Development,23,2,2,Male,2,Manufacturing Director,Married,5916,Yes,3,8,1,0,1,2,pink
43,No,Research & Development,7,3,4,Male,1,Research Scientist,Divorced,2089,No,3,7,5,2,2,1,light pink
45,No,Research & Development,2,2,1,Male,4,Manager,Married,16792,No,4,22,20,11,8,3,purple
37,No,Research & Development,21,3,2,Male,1,Research Scientist,Married,3564,Yes,3,8,8,1,7,2,pink
35,No,Research & Development,2,3,2,Female,2,Laboratory Technician,Single,4425,No,3,10,6,1,2,1,light pink
42,No,Research & Development,21,2,3,Female,2,Manufacturing Director,Divorced,5265,No,3,11,5,0,2,2,pink
38,No,Research & Development,2,4,4,Male,2,Manufacturing Director,Married,6553,No,3,14,1,0,0,1,light pink
38,No,Research & Development,29,3,4,Male,2,Manufacturing Director,Married,6261,No,3,9,7,1,7,2,pink
27,No,Research & Development,1,1,3,Male,2,Manufacturing Director,Married,4298,No,3,6,2,2,0,1,light pink
49,No,Research & Development,18,4,4,Male,2,Manufacturing Director,Divorced,6804,Yes,3,7,7,1,7,0,beige
34,No,Research & Development,10,4,4,Male,1,Research Scientist,Divorced,3815,Yes,3,5,5,2,0,1,light pink
40,No,Research & Development,19,2,3,Male,2,Laboratory Technician,Married,2741,Yes,3,15,7,3,7,2,pink
38,Yes,Research & Development,29,1,2,Male,2,Healthcare Representative,Married,6673,Yes,3,17,1,0,0,2,pink
29,Yes,Sales,27,3,2,Female,3,Sales Executive,Married,7639,No,4,10,10,1,9,2,pink
22,No,Research & Development,5,3,4,Male,1,Research Scientist,Divorced,2328,Yes,3,4,4,2,2,1,light pink
36,No,Research & Development,18,1,2,Female,1,Laboratory Technician,Single,2153,No,3,8,8,1,7,2,pink
40,No,Research & Development,9,5,4,Male,2,Healthcare Representative,Married,4876,No,3,5,3,0,2,1,light pink
46,No,Research & Development,1,4,4,Male,3,Healthcare Representative,Divorced,9396,No,3,17,4,0,3,0,beige
32,Yes,Sales,4,4,4,Male,3,Sales Executive,Married,10400,No,3,14,14,9,8,1,light pink
30,No,Research & Development,1,1,3,Male,3,Manufacturing Director,Single,8474,No,4,12,11,5,8,1,light pink
27,No,Sales,20,3,4,Female,2,Sales Executive,Single,9981,No,3,7,7,0,7,2,pink
51,No,Research & Development,8,4,2,Male,3,Research Director,Married,12490,No,3,16,10,4,7,0,beige
30,Yes,Research & Development,3,3,4,Female,1,Research Scientist,Single,2657,Yes,3,8,5,0,4,1,light pink
41,No,Sales,6,3,4,Female,3,Manager,Single,13591,Yes,3,16,1,0,0,0,beige
30,Yes,Sales,26,4,3,Female,2,Sales Executive,Single,6696,No,3,9,6,0,1,2,pink
29,Yes,Research & Development,1,3,3,Male,1,Research Scientist,Single,2058,No,3,7,6,1,5,1,light pink
45,No,Sales,6,3,4,Female,3,Sales Executive,Single,8865,No,3,23,19,12,8,3,purple
54,No,Sales,3,3,4,Female,2,Sales Executive,Married,5940,No,3,16,6,0,5,0,beige
36,No,Research & Development,5,2,4,Male,2,Laboratory Technician,Single,5914,No,3,16,13,3,7,1,light pink
33,No,Research & Development,4,4,3,Female,1,Research Scientist,Married,2622,No,4,7,3,1,1,1,light pink
37,No,Research & Development,11,3,2,Male,3,Research Director,Divorced,12185,Yes,3,10,10,0,7,0,beige
38,No,Sales,3,3,1,Male,3,Sales Executive,Divorced,10609,No,3,17,16,5,13,3,purple
31,No,Research & Development,1,4,3,Male,2,Manufacturing Director,Married,4345,No,3,6,5,1,4,1,light pink
59,No,Research & Development,3,3,3,Male,1,Research Scientist,Married,2177,No,3,7,1,0,0,0,beige
37,No,Sales,4,4,1,Male,1,Sales Representative,Divorced,2793,No,3,13,9,5,8,1,light pink
29,No,Sales,1,1,2,Female,3,Sales Executive,Married,7918,No,3,11,11,4,1,1,light pink
35,No,Sales,1,3,3,Female,3,Sales Executive,Single,8789,No,3,10,10,0,8,1,light pink
29,Yes,Research & Development,18,1,3,Male,1,Research Scientist,Single,2389,Yes,3,4,4,0,1,2,pink
52,No,Research & Development,2,3,3,Female,1,Laboratory Technician,Single,3212,No,3,6,2,2,2,0,beige
42,No,Research & Development,4,2,3,Male,5,Manager,Married,19232,No,3,22,22,11,15,3,purple
59,No,Human Resources,6,2,2,Male,1,Human Resources,Married,2267,No,3,7,2,2,2,0,beige
50,No,Sales,1,4,4,Female,5,Manager,Divorced,19517,No,3,32,7,0,6,0,beige
33,Yes,Research & Development,14,3,3,Male,1,Laboratory Technician,Married,2436,Yes,3,8,5,0,4,2,pink
43,No,Sales,16,3,4,Female,4,Manager,Married,16064,Yes,4,22,17,1,9,3,purple
33,Yes,Research & Development,2,2,1,Female,1,Laboratory Technician,Married,2707,No,4,13,9,1,7,1,light pink
52,No,Sales,2,4,1,Male,5,Manager,Single,19068,Yes,3,33,33,15,12,3,purple
32,No,Sales,4,2,3,Female,1,Sales Representative,Married,3931,No,3,6,4,1,2,1,light pink
32,Yes,Research & Development,1,3,4,Male,1,Laboratory Technician,Single,3730,Yes,3,4,3,1,2,1,light pink
39,No,Research & Development,1,4,3,Female,1,Laboratory Technician,Divorced,2232,No,3,7,3,1,2,1,light pink
32,No,Sales,26,4,3,Male,2,Sales Executive,Married,4465,No,3,4,3,2,2,2,pink
41,No,Research & Development,19,2,3,Male,2,Research Scientist,Divorced,3072,No,3,17,1,0,0,2,pink
40,No,Research & Development,24,2,1,Male,2,Research Scientist,Divorced,3319,No,3,9,9,4,7,2,pink
45,No,Research & Development,1,3,3,Male,5,Manager,Married,19202,No,3,25,24,1,7,3,purple
31,No,Research & Development,3,4,2,Male,3,Research Director,Divorced,13675,No,3,9,2,2,2,1,light pink
33,No,Research & Development,5,4,3,Female,1,Research Scientist,Married,2911,No,3,2,2,0,2,1,light pink
34,No,Research & Development,2,4,4,Male,2,Manufacturing Director,Married,5957,No,3,13,11,5,9,1,light pink
37,No,Research & Development,1,2,3,Female,1,Research Scientist,Married,3920,No,3,17,3,0,2,1,light pink
45,No,Research & Development,7,4,1,Male,2,Manufacturing Director,Married,6434,No,3,9,3,0,2,0,beige
37,Yes,Research & Development,10,3,1,Male,3,Manufacturing Director,Divorced,10048,No,3,17,1,0,0,1,light pink
39,No,Research & Development,2,4,3,Female,3,Healthcare Representative,Single,10938,No,4,20,19,11,8,3,purple
29,No,Research & Development,15,3,3,Male,1,Research Scientist,Single,2340,No,3,6,6,1,5,2,pink
42,No,Research & Development,17,2,4,Female,2,Research Scientist,Single,6545,Yes,3,10,3,0,2,2,pink
29,No,Sales,20,2,4,Male,2,Sales Executive,Divorced,6931,No,3,10,3,0,2,2,pink
25,No,Research & Development,1,3,1,Female,2,Manufacturing Director,Married,4898,No,3,5,4,1,2,1,light pink
42,No,Research & Development,2,3,4,Female,1,Laboratory Technician,Divorced,2593,Yes,3,10,9,7,8,1,light pink
40,No,Research & Development,2,2,1,Male,5,Research Director,Divorced,19436,No,3,22,21,3,9,3,purple
51,No,Research & Development,1,3,3,Male,1,Research Scientist,Married,2723,No,3,1,1,0,0,0,beige
31,Yes,Research & Development,29,2,3,Male,1,Laboratory Technician,Single,3479,No,3,6,5,1,4,2,pink
